linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,log_time,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1777986970.4539213,1777986970.4537394
0.0,0.0,0.0,0.0,0.0,0.0,1777986994.1838925,1777986994.1835864
0.0,0.0,0.0,0.0,0.0,0.0,1777986994.283951,1777986994.2836773
0.0,0.0,0.0,0.0,0.0,0.0,1777986994.3838198,1777986994.3835316
0.0,0.0,0.0,0.0,0.0,0.0,1777986994.4838006,1777986994.4835215
0.0,0.0,0.0,0.0,0.0,0.0,1777986994.5838885,1777986994.5835943
0.0,0.0,0.0,0.0,0.0,0.0,1777986994.6839135,1777986994.683629
0.0,0.0,0.0,0.0,0.0,0.0,1777986994.7838745,1777986994.7836173
0.0,0.0,0.0,0.0,0.0,0.0,1777986994.8837295,1777986994.8834767
0.0,0.0,0.0,0.0,0.0,0.0,1777986994.983848,1777986994.9836223
0.0,0.0,0.0,0.0,0.0,0.0,1777986995.0839293,1777986995.0836341
0.0,0.0,0.0,0.0,0.0,0.0,1777986995.183808,1777986995.1836143
0.0,0.0,0.0,0.0,0.0,0.0,1777986995.2839363,1777986995.2836459
0.0,0.0,0.0,0.0,0.0,0.0,1777986995.383861,1777986995.3835697
0.0,0.0,0.0,0.0,0.0,0.0,1777986995.4839458,1777986995.483698
0.0,0.0,0.0,0.0,0.0,0.0,1777986995.5839,1777986995.5836678
0.0,0.0,0.0,0.0,0.0,0.0,1777986995.6839445,1777986995.6836808
0.0,0.0,0.0,0.0,0.0,0.0,1777986995.7838817,1777986995.7836385
0.0,0.0,0.0,0.0,0.0,0.0,1777986995.8839936,1777986995.883705
0.0,0.0,0.0,0.0,0.0,0.0,1777986995.9841075,1777986995.9837677
0.0,0.0,0.0,0.0,0.0,0.0,1777986996.0840201,1777986996.0836985
0.0,0.0,0.0,0.0,0.0,0.0,1777986996.1841311,1777986996.1837137
0.0,0.0,0.0,0.0,0.0,0.0,1777986996.2840626,1777986996.2837324
0.0,0.0,0.0,0.0,0.0,0.0,1777986996.3839233,1777986996.383679
0.0,0.0,0.0,0.0,0.0,0.0,1777986996.4837937,1777986996.483511
0.0,0.0,0.0,0.0,0.0,0.0,1777986996.5838552,1777986996.5834894
0.0,0.0,0.0,0.0,0.0,0.0,1777986996.6841636,1777986996.6836417
0.0,0.0,0.0,0.0,0.0,0.0,1777986996.7839465,1777986996.783665
